Survey Question,Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Open-Ended Response
How much do you earn per hour?,118765355171,456136887,12/16/2024 05:17:24 PM,12/16/2024 05:20:30 PM,174.238.10.109,NA,NA,NA,NA,n/a
How much do you earn per hour?,118765354519,456136887,12/16/2024 05:17:05 PM,12/16/2024 05:19:52 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118765340432,456136887,12/16/2024 04:44:30 PM,12/16/2024 04:51:29 PM,174.194.197.97,NA,NA,NA,NA,NA
How much do you earn per hour?,118765336445,456136887,12/16/2024 04:36:19 PM,12/16/2024 04:37:18 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118765334804,456136887,12/16/2024 04:29:07 PM,12/16/2024 04:35:25 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118765332304,456136887,12/16/2024 04:28:28 PM,12/16/2024 04:30:44 PM,63.241.90.251,NA,NA,NA,NA,NA
How much do you earn per hour?,118765330919,456136887,12/16/2024 04:15:38 PM,12/16/2024 04:30:42 PM,50.235.136.171,NA,NA,NA,NA,Unknown
How much do you earn per hour?,118765330839,456136887,12/16/2024 04:24:32 PM,12/16/2024 04:27:31 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118764120144,456136887,12/14/2024 11:39:11 AM,12/14/2024 11:42:05 AM,107.127.14.12,NA,NA,NA,NA,NA
How much do you earn per hour?,118764051031,456136887,12/13/2024 03:30:42 PM,12/14/2024 08:28:13 AM,99.13.230.97,NA,NA,NA,NA,NA
How much do you earn per hour?,118763787287,456136887,12/13/2024 04:13:38 PM,12/13/2024 05:20:46 PM,107.127.14.125,NA,NA,NA,NA,NA
How much do you earn per hour?,118763760551,456136887,12/13/2024 04:10:46 PM,12/13/2024 04:17:28 PM,72.159.77.83,NA,NA,NA,NA,NA
How much do you earn per hour?,118763761946,456136887,12/13/2024 04:13:38 PM,12/13/2024 04:13:48 PM,73.162.245.104,NA,NA,NA,NA,NA
How much do you earn per hour?,118763742972,456136887,12/13/2024 03:28:49 PM,12/13/2024 03:31:03 PM,50.235.136.171,NA,NA,NA,NA,0 i get credits
How much do you earn per hour?,118763742597,456136887,12/13/2024 03:28:05 PM,12/13/2024 03:30:58 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118763742642,456136887,12/13/2024 03:28:01 PM,12/13/2024 03:30:11 PM,174.249.149.61,NA,NA,NA,NA,NA
How much do you earn per hour?,118763742321,456136887,12/13/2024 03:27:06 PM,12/13/2024 03:29:59 PM,104.28.111.133,NA,NA,NA,NA,NA
How much do you earn per hour?,118763741274,456136887,12/13/2024 03:25:13 PM,12/13/2024 03:26:36 PM,104.28.123.70,NA,NA,NA,NA,NA
How much do you earn per hour?,118763738398,456136887,12/13/2024 03:18:43 PM,12/13/2024 03:19:48 PM,104.28.123.70,NA,NA,NA,NA,NA
How much do you earn per hour?,118762177291,456136887,12/11/2024 03:49:23 PM,12/11/2024 03:50:44 PM,172.56.43.193,NA,NA,NA,NA,NA
How much do you earn per hour?,118762165623,456136887,12/11/2024 03:27:48 PM,12/11/2024 03:32:06 PM,104.28.123.70,NA,NA,NA,NA,NA
How much do you earn per hour?,118762165410,456136887,12/11/2024 03:27:41 PM,12/11/2024 03:30:24 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118744907950,456136887,11/18/2024 05:58:50 PM,11/18/2024 06:04:37 PM,99.113.190.191,NA,NA,NA,NA,16.50
How much do you earn per hour?,118743007757,456136887,11/15/2024 06:24:50 PM,11/15/2024 06:28:07 PM,99.113.190.191,NA,NA,NA,NA,IDK
How much do you earn per hour?,118743006067,456136887,11/15/2024 06:19:30 PM,11/15/2024 06:23:12 PM,99.113.190.191,NA,NA,NA,NA,16.50
How much do you earn per hour?,118743005126,456136887,11/15/2024 06:16:26 PM,11/15/2024 06:19:15 PM,99.113.190.191,NA,NA,NA,NA,16.54
How much do you earn per hour?,118743004316,456136887,11/15/2024 06:13:45 PM,11/15/2024 06:16:09 PM,99.113.190.191,NA,NA,NA,NA,16.54
How much do you earn per hour?,118734157324,456136887,11/05/2024 02:38:14 PM,11/05/2024 02:39:17 PM,67.174.63.39,NA,NA,NA,NA,NA
How much do you earn per hour?,118734124222,456136887,11/05/2024 01:54:44 PM,11/05/2024 01:55:09 PM,24.7.114.4,NA,NA,NA,NA,NA
How much do you earn per hour?,118733238602,456136887,11/04/2024 04:38:13 PM,11/04/2024 04:40:46 PM,99.113.190.191,NA,NA,NA,NA,NA
How much do you earn per hour?,118673376383,456136887,08/19/2024 04:58:59 PM,08/19/2024 07:04:02 PM,107.127.14.39,NA,NA,NA,NA,NA
How much do you earn per hour?,118673321572,456136887,08/19/2024 04:58:59 PM,08/19/2024 04:59:34 PM,107.127.14.39,NA,NA,NA,NA,NA
How much do you earn per hour?,118656673277,456136887,07/26/2024 12:23:10 PM,07/26/2024 12:38:03 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655161063,456136887,07/24/2024 04:35:59 PM,07/24/2024 10:56:07 PM,108.147.84.16,NA,NA,NA,NA,NA
How much do you earn per hour?,118655157610,456136887,07/24/2024 04:29:23 PM,07/24/2024 04:39:09 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156352,456136887,07/24/2024 04:26:01 PM,07/24/2024 04:30:43 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156225,456136887,07/24/2024 04:25:59 PM,07/24/2024 04:30:25 PM,50.235.136.171,NA,NA,NA,NA,4
How much do you earn per hour?,118655156321,456136887,07/24/2024 04:25:52 PM,07/24/2024 04:30:06 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156513,456136887,07/24/2024 04:26:13 PM,07/24/2024 04:30:06 PM,50.235.136.171,NA,NA,NA,NA,4
How much do you earn per hour?,118655156648,456136887,07/24/2024 04:26:58 PM,07/24/2024 04:30:03 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156505,456136887,07/24/2024 04:25:09 PM,07/24/2024 04:29:34 PM,50.235.136.171,NA,NA,NA,NA,$4
How much do you earn per hour?,118655156402,456136887,07/24/2024 04:26:42 PM,07/24/2024 04:29:33 PM,50.235.136.171,NA,NA,NA,NA,not enough. its like $4/hr im poor
How much do you earn per hour?,118655156595,456136887,07/24/2024 04:27:08 PM,07/24/2024 04:29:33 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655157250,456136887,07/24/2024 04:25:49 PM,07/24/2024 04:29:07 PM,104.28.123.69,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156350,456136887,07/24/2024 04:26:07 PM,07/24/2024 04:28:59 PM,174.194.139.51,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156344,456136887,07/24/2024 04:25:51 PM,07/24/2024 04:28:59 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156393,456136887,07/24/2024 04:25:11 PM,07/24/2024 04:28:54 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655155986,456136887,07/24/2024 04:25:44 PM,07/24/2024 04:28:29 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156094,456136887,07/24/2024 04:26:08 PM,07/24/2024 04:27:56 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655156636,456136887,07/24/2024 04:27:11 PM,07/24/2024 04:27:45 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655155761,456136887,07/24/2024 04:25:20 PM,07/24/2024 04:27:42 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118655085218,456136887,07/24/2024 02:18:29 PM,07/24/2024 02:19:57 PM,50.206.57.50,NA,NA,NA,NA,NA
How much do you earn per hour?,118651016667,456136887,07/18/2024 01:19:57 PM,07/18/2024 01:22:51 PM,174.195.85.102,NA,NA,NA,NA,20.25
How much do you earn per hour?,118651011201,456136887,07/18/2024 01:10:49 PM,07/18/2024 01:20:04 PM,99.127.225.9,NA,NA,NA,NA,20$
How much do you earn per hour?,118651014169,456136887,07/18/2024 01:16:23 PM,07/18/2024 01:19:56 PM,174.249.145.58,NA,NA,NA,NA,19.44
How much do you earn per hour?,118651010882,456136887,07/18/2024 01:12:36 PM,07/18/2024 01:18:43 PM,172.59.128.212,NA,NA,NA,NA,19
How much do you earn per hour?,118651010493,456136887,07/18/2024 01:11:20 PM,07/18/2024 01:18:24 PM,172.59.128.20,NA,NA,NA,NA,20.25
How much do you earn per hour?,118651009781,456136887,07/18/2024 01:10:52 PM,07/18/2024 01:18:10 PM,172.56.208.28,NA,NA,NA,NA,$20.25
How much do you earn per hour?,118651010297,456136887,07/18/2024 01:11:21 PM,07/18/2024 01:16:35 PM,174.249.146.115,NA,NA,NA,NA,$20.25
How much do you earn per hour?,118651012251,456136887,07/18/2024 01:14:34 PM,07/18/2024 01:16:19 PM,99.127.225.9,NA,NA,NA,NA,20.25
How much do you earn per hour?,118651009799,456136887,07/18/2024 01:11:03 PM,07/18/2024 01:15:50 PM,172.59.128.72,NA,NA,NA,NA,$20.25
How much do you earn per hour?,118651010822,456136887,07/18/2024 01:11:26 PM,07/18/2024 01:15:30 PM,172.59.129.246,NA,NA,NA,NA,$19.44
How much do you earn per hour?,118651009689,456136887,07/18/2024 01:10:54 PM,07/18/2024 01:14:12 PM,99.127.225.9,NA,NA,NA,NA,20.44
How much do you earn per hour?,118643433340,456136887,07/08/2024 01:36:06 PM,07/08/2024 01:40:42 PM,174.194.194.110,NA,NA,NA,NA,NA
How much do you earn per hour?,118643420626,456136887,07/08/2024 01:19:00 PM,07/08/2024 01:21:31 PM,107.115.29.58,NA,NA,NA,NA,$28
How much do you earn per hour?,118637004745,456136887,06/28/2024 03:57:33 PM,06/28/2024 04:21:00 PM,172.59.128.190,NA,NA,NA,NA,NA
How much do you earn per hour?,118637014093,456136887,06/28/2024 04:20:07 PM,06/28/2024 04:20:48 PM,104.28.124.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118637009787,456136887,06/28/2024 04:09:15 PM,06/28/2024 04:12:53 PM,172.59.129.209,NA,NA,NA,NA,$18 per hour
How much do you earn per hour?,118637006117,456136887,06/28/2024 04:00:03 PM,06/28/2024 04:04:14 PM,107.127.18.32,NA,NA,NA,NA,16.50
How much do you earn per hour?,118637006115,456136887,06/28/2024 04:00:03 PM,06/28/2024 04:04:13 PM,104.28.123.71,NA,NA,NA,NA,16.50
How much do you earn per hour?,118637005239,456136887,06/28/2024 03:58:22 PM,06/28/2024 04:02:03 PM,107.127.18.73,NA,NA,NA,NA,2000 stipend
How much do you earn per hour?,118637005424,456136887,06/28/2024 03:59:09 PM,06/28/2024 04:01:10 PM,107.127.18.68,NA,NA,NA,NA,20
How much do you earn per hour?,118637003737,456136887,06/28/2024 03:54:57 PM,06/28/2024 03:57:45 PM,172.56.43.185,NA,NA,NA,NA,$17
How much do you earn per hour?,118637001180,456136887,06/28/2024 03:47:57 PM,06/28/2024 03:57:36 PM,172.59.129.52,NA,NA,NA,NA,NA
How much do you earn per hour?,118637001011,456136887,06/28/2024 03:47:54 PM,06/28/2024 03:57:33 PM,108.147.93.38,NA,NA,NA,NA,1000
How much do you earn per hour?,118637001078,456136887,06/28/2024 03:48:15 PM,06/28/2024 03:53:20 PM,172.59.129.95,NA,NA,NA,NA,NA
How much do you earn per hour?,118637001621,456136887,06/28/2024 03:49:58 PM,06/28/2024 03:53:04 PM,174.238.12.143,NA,NA,NA,NA,$2000 stipends
How much do you earn per hour?,118637001124,456136887,06/28/2024 03:48:44 PM,06/28/2024 03:51:45 PM,174.238.3.89,NA,NA,NA,NA,20
How much do you earn per hour?,118637001005,456136887,06/28/2024 03:48:17 PM,06/28/2024 03:50:54 PM,172.59.129.89,NA,NA,NA,NA,1700$  stipend
How much do you earn per hour?,118637001117,456136887,06/28/2024 03:48:21 PM,06/28/2024 03:50:52 PM,172.56.208.188,NA,NA,NA,NA,NA
How much do you earn per hour?,118637000916,456136887,06/28/2024 03:48:17 PM,06/28/2024 03:50:27 PM,172.59.129.132,NA,NA,NA,NA,It’s a stipend
How much do you earn per hour?,118636998994,456136887,06/28/2024 03:43:58 PM,06/28/2024 03:48:30 PM,172.59.128.233,NA,NA,NA,NA,$2000 stipend over 1 month
How much do you earn per hour?,118636999012,456136887,06/28/2024 03:43:44 PM,06/28/2024 03:47:23 PM,77.111.246.47,NA,NA,NA,NA,$2000 stipend over 1 month
How much do you earn per hour?,118636997883,456136887,06/28/2024 03:41:04 PM,06/28/2024 03:45:39 PM,174.195.93.168,NA,NA,NA,NA,2
How much do you earn per hour?,118636997678,456136887,06/28/2024 03:40:52 PM,06/28/2024 03:45:01 PM,172.59.129.89,NA,NA,NA,NA,Stipend
How much do you earn per hour?,118636998368,456136887,06/28/2024 03:41:45 PM,06/28/2024 03:44:21 PM,166.205.87.65,NA,NA,NA,NA,"Not sure but stipend is 1,700"
How much do you earn per hour?,118636997670,456136887,06/28/2024 03:40:49 PM,06/28/2024 03:43:29 PM,174.249.146.92,NA,NA,NA,NA,NA
How much do you earn per hour?,118636997490,456136887,06/28/2024 03:40:27 PM,06/28/2024 03:42:46 PM,172.56.42.145,NA,NA,NA,NA,15
How much do you earn per hour?,118636996702,456136887,06/28/2024 03:38:24 PM,06/28/2024 03:41:44 PM,172.59.128.96,NA,NA,NA,NA,"1,700"
How much do you earn per hour?,118636996487,456136887,06/28/2024 03:38:12 PM,06/28/2024 03:40:43 PM,104.28.123.180,NA,NA,NA,NA,1000 stipend
How much do you earn per hour?,118636995926,456136887,06/28/2024 03:36:55 PM,06/28/2024 03:40:15 PM,172.59.129.75,NA,NA,NA,NA,Stipend
How much do you earn per hour?,118636996003,456136887,06/28/2024 03:36:49 PM,06/28/2024 03:39:26 PM,172.59.129.95,NA,NA,NA,NA,1700
How much do you earn per hour?,118636995947,456136887,06/28/2024 03:36:49 PM,06/28/2024 03:39:26 PM,172.59.129.84,NA,NA,NA,NA,17
How much do you earn per hour?,118634514664,456136887,06/25/2024 04:28:33 PM,06/25/2024 04:30:48 PM,172.56.209.75,NA,NA,NA,NA,15
How much do you earn per hour?,118629918469,456136887,06/12/2024 03:54:57 PM,06/18/2024 04:09:29 PM,66.179.155.129,NA,NA,NA,NA,NA
How much do you earn per hour?,118629279023,456136887,06/17/2024 12:17:53 PM,06/18/2024 12:56:34 AM,172.59.129.200,NA,NA,NA,NA,NA
How much do you earn per hour?,118628975716,456136887,06/17/2024 12:17:53 PM,06/17/2024 01:30:16 PM,192.184.236.94,NA,NA,NA,NA,NA
How much do you earn per hour?,118627581629,456136887,06/14/2024 03:23:29 PM,06/14/2024 03:26:42 PM,70.236.209.119,NA,NA,NA,NA,19.44
How much do you earn per hour?,118626756038,456136887,06/13/2024 03:03:08 PM,06/13/2024 03:08:05 PM,174.249.149.75,NA,NA,NA,NA,0
How much do you earn per hour?,118626753285,456136887,06/13/2024 02:56:50 PM,06/13/2024 03:00:09 PM,172.59.128.38,NA,NA,NA,NA,NA
How much do you earn per hour?,118625951292,456136887,06/12/2024 04:21:58 PM,06/12/2024 04:24:24 PM,174.194.195.206,NA,NA,NA,NA,20
How much do you earn per hour?,118625943264,456136887,06/12/2024 04:07:13 PM,06/12/2024 04:22:46 PM,66.179.155.129,NA,NA,NA,NA,NA
How much do you earn per hour?,118625947171,456136887,06/12/2024 04:14:10 PM,06/12/2024 04:18:31 PM,174.194.195.206,NA,NA,NA,NA,20
How much do you earn per hour?,118625938126,456136887,06/12/2024 03:54:57 PM,06/12/2024 04:04:44 PM,172.56.46.127,NA,NA,NA,NA,25
How much do you earn per hour?,118625866267,456136887,06/12/2024 02:01:36 PM,06/12/2024 02:06:34 PM,104.28.85.195,NA,NA,NA,NA,NA
How much do you earn per hour?,118622814183,456136887,06/05/2024 01:21:08 PM,06/08/2024 09:58:17 AM,172.59.129.189,NA,NA,NA,NA,NA
How much do you earn per hour?,118622690392,456136887,06/08/2024 03:17:32 AM,06/08/2024 03:21:45 AM,128.54.131.246,NA,NA,NA,NA,18.07
How much do you earn per hour?,118622546404,456136887,06/07/2024 05:33:41 PM,06/07/2024 05:35:41 PM,73.71.60.120,NA,NA,NA,NA,18
How much do you earn per hour?,118622286243,456136887,06/07/2024 10:14:12 AM,06/07/2024 10:17:01 AM,98.33.107.51,NA,NA,NA,NA,18
How much do you earn per hour?,118622255446,456136887,06/07/2024 09:31:27 AM,06/07/2024 09:36:35 AM,174.193.49.165,NA,NA,NA,NA,"with Genesys Works, $17/hr"
How much do you earn per hour?,118621490033,456136887,06/06/2024 11:16:02 AM,06/06/2024 11:19:34 AM,99.45.174.214,NA,NA,NA,NA,18
How much do you earn per hour?,118620905666,456136887,06/05/2024 06:33:46 PM,06/05/2024 06:37:14 PM,168.150.48.58,NA,NA,NA,NA,$16.99
How much do you earn per hour?,118620815156,456136887,06/05/2024 03:32:06 PM,06/05/2024 03:35:24 PM,73.162.244.85,NA,NA,NA,NA,NA
How much do you earn per hour?,118620742253,456136887,06/05/2024 01:48:22 PM,06/05/2024 01:52:06 PM,157.131.194.194,NA,NA,NA,NA,17.50
How much do you earn per hour?,118620743655,456136887,06/05/2024 01:49:43 PM,06/05/2024 01:51:56 PM,172.59.129.114,NA,NA,NA,NA,0
How much do you earn per hour?,118620737491,456136887,06/05/2024 01:42:33 PM,06/05/2024 01:44:49 PM,157.131.194.194,NA,NA,NA,NA,Not working right now
How much do you earn per hour?,118620731029,456136887,06/05/2024 01:34:46 PM,06/05/2024 01:37:25 PM,157.131.194.194,NA,NA,NA,NA,N/A
How much do you earn per hour?,118620720345,456136887,06/05/2024 01:22:32 PM,06/05/2024 01:24:45 PM,104.28.85.131,NA,NA,NA,NA,NA
How much do you earn per hour?,118620721542,456136887,06/05/2024 01:21:08 PM,06/05/2024 01:24:31 PM,172.56.208.134,NA,NA,NA,NA,NA
How much do you earn per hour?,118620718576,456136887,06/05/2024 01:19:00 PM,06/05/2024 01:23:53 PM,104.28.85.195,NA,NA,NA,NA,NA
How much do you earn per hour?,118620710598,456136887,06/05/2024 01:11:42 PM,06/05/2024 01:18:34 PM,104.28.123.181,NA,NA,NA,NA,24
How much do you earn per hour?,118620698470,456136887,06/05/2024 12:56:51 PM,06/05/2024 01:03:17 PM,174.194.201.149,NA,NA,NA,NA,Nun
How much do you earn per hour?,118620697919,456136887,06/05/2024 11:23:54 AM,06/05/2024 12:57:22 PM,104.28.111.136,NA,NA,NA,NA,NA
How much do you earn per hour?,118620693460,456136887,06/05/2024 12:49:41 PM,06/05/2024 12:54:09 PM,174.194.137.108,NA,NA,NA,NA,NA
How much do you earn per hour?,118618000677,456136887,06/02/2024 02:15:39 PM,06/02/2024 02:21:34 PM,76.126.14.151,NA,NA,NA,NA,22.50
How much do you earn per hour?,118617645915,456136887,05/31/2024 12:01:00 PM,06/01/2024 04:18:46 PM,104.28.123.101,NA,NA,NA,NA,NA
How much do you earn per hour?,118617576621,456136887,05/31/2024 12:01:00 PM,06/01/2024 12:14:04 PM,146.75.154.1,NA,NA,NA,NA,NA
How much do you earn per hour?,118617314690,456136887,05/31/2024 11:23:06 PM,05/31/2024 11:27:10 PM,99.55.167.170,NA,NA,NA,NA,$18
How much do you earn per hour?,118617287436,456136887,05/31/2024 09:50:43 PM,05/31/2024 09:56:03 PM,73.231.253.43,NA,NA,NA,NA,16.50
How much do you earn per hour?,118617201532,456136887,05/31/2024 12:01:00 PM,05/31/2024 05:57:12 PM,104.28.111.133,NA,NA,NA,NA,NA
How much do you earn per hour?,118617110458,456136887,05/31/2024 12:01:00 PM,05/31/2024 02:50:55 PM,104.28.123.99,NA,NA,NA,NA,NA
How much do you earn per hour?,118617084633,456136887,05/31/2024 02:06:57 PM,05/31/2024 02:08:42 PM,172.59.129.202,NA,NA,NA,NA,$19.10
How much do you earn per hour?,118617067205,456136887,05/31/2024 01:27:48 PM,05/31/2024 01:43:17 PM,172.59.129.202,NA,NA,NA,NA,$19.10
How much do you earn per hour?,118617016617,456136887,05/31/2024 12:01:00 PM,05/31/2024 12:30:13 PM,104.28.123.113,NA,NA,NA,NA,NA
How much do you earn per hour?,118616995047,456136887,05/31/2024 12:01:00 PM,05/31/2024 12:01:24 PM,104.28.124.100,NA,NA,NA,NA,NA
How much do you earn per hour?,118616329542,456136887,05/30/2024 05:53:26 PM,05/30/2024 05:56:58 PM,99.113.190.65,NA,NA,NA,NA,16.99
How much do you earn per hour?,118616305054,456136887,05/30/2024 05:08:49 PM,05/30/2024 05:10:37 PM,69.209.12.133,NA,NA,NA,NA,$18
How much do you earn per hour?,118616254760,456136887,05/30/2024 03:54:15 PM,05/30/2024 03:58:19 PM,174.194.129.228,NA,NA,NA,NA,NA
How much do you earn per hour?,118616236001,456136887,05/30/2024 03:32:02 PM,05/30/2024 03:34:48 PM,75.10.236.1,NA,NA,NA,NA,18.07
How much do you earn per hour?,118616181381,456136887,05/30/2024 02:33:25 PM,05/30/2024 03:11:21 PM,98.37.35.82,NA,NA,NA,NA,16.07
How much do you earn per hour?,118616196717,456136887,05/30/2024 02:48:17 PM,05/30/2024 02:49:09 PM,75.10.236.10,NA,NA,NA,NA,NA
How much do you earn per hour?,118616107766,456136887,05/30/2024 01:18:18 PM,05/30/2024 01:26:56 PM,174.194.193.80,NA,NA,NA,NA,25
How much do you earn per hour?,118616026612,456136887,05/30/2024 11:53:35 AM,05/30/2024 11:55:58 AM,73.15.255.88,NA,NA,NA,NA,NA
How much do you earn per hour?,118615382649,456136887,05/29/2024 04:02:40 PM,05/29/2024 04:10:25 PM,104.28.124.182,NA,NA,NA,NA,NA
How much do you earn per hour?,118615378372,456136887,05/29/2024 03:54:27 PM,05/29/2024 04:01:00 PM,73.93.204.102,NA,NA,NA,NA,NA
How much do you earn per hour?,118615329549,456136887,05/29/2024 01:24:04 PM,05/29/2024 02:37:02 PM,73.158.172.111,NA,NA,NA,NA,NA
How much do you earn per hour?,118615230855,456136887,05/29/2024 12:24:43 PM,05/29/2024 12:29:42 PM,172.225.89.4,NA,NA,NA,NA,16
How much do you earn per hour?,118615191416,456136887,05/29/2024 11:40:01 AM,05/29/2024 11:45:58 AM,73.15.255.88,NA,NA,NA,NA,0
How much do you earn per hour?,118614519486,456136887,05/28/2024 05:05:44 PM,05/28/2024 05:10:03 PM,128.54.153.90,NA,NA,NA,NA,NA
How much do you earn per hour?,118614224816,456136887,05/28/2024 10:42:22 AM,05/28/2024 10:43:39 AM,198.27.143.140,NA,NA,NA,NA,18
How much do you earn per hour?,118614205861,456136887,05/28/2024 10:18:37 AM,05/28/2024 10:20:13 AM,12.232.253.28,NA,NA,NA,NA,16
How much do you earn per hour?,118610686767,456136887,05/22/2024 07:09:10 PM,05/22/2024 07:11:35 PM,107.127.14.46,NA,NA,NA,NA,NA
How much do you earn per hour?,118608647202,456136887,05/20/2024 04:30:26 PM,05/20/2024 04:32:36 PM,73.231.253.203,NA,NA,NA,NA,15
How much do you earn per hour?,118608250210,456136887,05/20/2024 08:40:39 AM,05/20/2024 08:49:48 AM,12.219.229.114,NA,NA,NA,NA,16$
How much do you earn per hour?,118607725709,456136887,05/19/2024 04:19:46 PM,05/19/2024 04:22:19 PM,108.72.120.201,NA,NA,NA,NA,16.5
How much do you earn per hour?,118606622181,456136887,05/17/2024 11:12:05 AM,05/17/2024 11:12:58 AM,67.188.52.232,NA,NA,NA,NA,NA
